condition,channel,n_windows,bad_windows,pct_bad_windows,mean_p2p_uv,mean_gamma_30_45
basal,Fp1,29,0,0.0,404.8405303645532,213.7089773365214
basal,Fp2,29,0,0.0,388.5418647156238,171.81501673991434
masticacion,Fp1,14,7,50.0,886.0257016511952,1228.929522435235
masticacion,Fp2,14,10,71.42857142857143,925.7272407296579,1467.1225048552938
musica_estres,Fp1,47,4,8.51063829787234,731.7135025371095,481.65350705810795
musica_estres,Fp2,47,1,2.127659574468085,732.1782175371102,335.92786993577926
musica_relax,Fp1,32,0,0.0,513.0498937911829,299.3737199977026
musica_relax,Fp2,32,0,0.0,433.2992622361577,147.08872508737412
parpadeo,Fp1,14,0,0.0,998.4933380110936,791.1540950960729
parpadeo,Fp2,14,6,42.857142857142854,966.7694591336862,1125.9304013123735
punto_fijo,Fp1,30,2,6.666666666666667,387.2355404342471,666.9762032864688
punto_fijo,Fp2,30,0,0.0,381.19231164169105,581.2558205551123
