condition,channel,window,t_start_s,t_stop_s,p2p_uv,rms_uv,total_1_45,theta_4_8,rel_theta_4_8,alpha_8_13,rel_alpha_8_13,beta_13_30,rel_beta_13_30,gamma_baja_30_45,rel_gamma_baja_30_45,bad_by_p2p,bad_by_high_freq,bad_window,use_for_clean_analysis
basal,Fp1,0,0.0,4.0,271.83975641155087,45.29573949064643,1697.833782569878,208.34583231125845,0.1227127381079093,447.4470233146212,0.2635399459641778,448.93760754006155,0.26441787891659213,238.57059182343323,0.14051469247026505,False,False,False,True
basal,Fp1,1,2.0,6.0,291.365146557888,44.00860552821069,1403.0580710200647,152.31348947006967,0.10855822194111556,282.9572248197631,0.20167178441448602,472.11023062706874,0.3364865933765882,274.8834778884291,0.19591739185006127,False,False,False,True
basal,Fp1,2,4.0,8.0,291.365146557888,44.84733019622212,1784.1404009334788,196.31737780201667,0.11003471346722578,245.30945539039448,0.13749447928091663,558.7082105249599,0.3131526029188278,253.8248167297323,0.1422672882677444,False,False,False,True
basal,Fp1,3,6.0,10.0,237.00394340056175,43.679739329408946,1740.2444835565473,272.08328901496407,0.15634773825509043,301.0885760491025,0.1730151015527233,475.8830453437973,0.2734575801505961,292.61724630177,0.16814720521552612,False,False,False,True
basal,Fp1,4,8.0,12.0,288.85039294771957,44.25925619044204,1991.372134495843,295.09308789544946,0.1481858075563352,326.57540773769284,0.16399516799524372,532.5470528203825,0.2674271893209994,307.26499117051264,0.15429812733033102,False,False,False,True
basal,Fp1,5,10.0,14.0,288.85039294771957,41.77606588187959,1732.471392973291,289.4482419605754,0.16707245102836613,336.6475595088991,0.19431637421218254,497.6362365938104,0.28724066591354236,311.07388762796097,0.17955499230154198,False,False,False,True
basal,Fp1,6,12.0,16.0,404.15720085328087,57.78282791954757,1962.2774506715746,307.3002970421975,0.15660389764812632,229.3079612075815,0.11685807281182516,436.1717478715395,0.22227832650386062,300.86277008676717,0.15332325710811137,False,False,False,True
basal,Fp1,7,14.0,18.0,404.15720085328087,59.31688542202407,3027.326522566095,294.40202388054627,0.09724818967694247,330.80594237543795,0.10927329440995757,385.0039435285878,0.12717621989524988,263.2480299644823,0.08695726344753249,False,False,False,True
basal,Fp1,8,16.0,20.0,349.8987775845081,47.34700507375857,1863.6867675582776,388.3002375203383,0.20835058995942363,306.2528355635978,0.16432634544314392,418.4860245911782,0.22454740349928043,240.85316595529346,0.12923478888614365,False,False,False,True
basal,Fp1,9,18.0,22.0,306.29691761671063,51.21354196539751,2446.484179169793,408.0969856738203,0.16680957479655836,219.25900139508835,0.08962208023331392,488.34936158977473,0.1996127200607913,231.56847962969013,0.09465357740767086,False,False,False,True
basal,Fp1,10,20.0,24.0,268.29346417409926,44.05639840084991,2007.9765303007048,280.56617934864994,0.13972582603175832,185.26422349977716,0.09226413790405852,577.9132939359334,0.2878087892040192,246.96621789025687,0.12299258191691734,False,False,False,True
basal,Fp1,11,22.0,26.0,287.22363388474054,42.91839048499125,1382.675417386312,191.85401153558462,0.1387556393374293,251.35047659652963,0.18178559728187002,467.46262622305755,0.33808558418338547,197.80433185915743,0.1430591224606201,False,False,False,True
basal,Fp1,12,24.0,28.0,295.13309984342425,44.51137966868986,1744.7374412828638,272.1413958441724,0.15597842368996984,331.4693957474472,0.18998239385733917,344.16957661805776,0.19726152971475072,198.71417909710374,0.11389345720178616,False,False,False,True
basal,Fp1,13,26.0,30.0,274.58306970475263,40.19109965985258,1335.4325607093726,172.43318333721064,0.1291215958113342,266.3624350756729,0.199457795857683,354.73365320417804,0.26563202339154135,182.15499916199087,0.13640149605550383,False,False,False,True
basal,Fp1,14,28.0,32.0,904.6031070254026,123.55412629337117,10652.172940447033,321.7299741473527,0.03020322482051731,213.0851883403682,0.02000391746657333,359.3439577308909,0.03373433380586952,117.41765355710808,0.011022882768948031,False,False,False,True
basal,Fp1,15,30.0,34.0,904.6031070254026,125.2368452935778,6332.378250182853,326.2737398790742,0.05152467635199347,176.53748861781725,0.027878544465141448,405.8073528555801,0.06408450929851862,154.22987439102934,0.0243557583419114,False,False,False,True
basal,Fp1,16,32.0,36.0,500.001530722162,74.70332523640008,5904.312532637669,446.61797672343016,0.07564267207310413,277.13356835275397,0.046937482868805454,397.4091537182096,0.06730828551527787,190.481442706948,0.032261409207932475,False,False,False,True
basal,Fp1,17,34.0,38.0,500.001530722162,74.24067255377584,2288.0181721384956,329.57975828458825,0.14404595308635448,336.8717527024779,0.1472329882710769,403.74176171325126,0.17645915868574336,211.62125855095414,0.09249107420906644,False,False,False,True
basal,Fp1,18,36.0,40.0,632.1800836377143,95.60770120843254,2310.89738340674,199.74765658201483,0.08643726805711534,164.03038276837958,0.07098124907933598,343.90940965987755,0.14882071879491424,148.18958486247664,0.06412642375492009,False,False,False,True
basal,Fp1,19,38.0,42.0,913.8789187008942,127.27255633778238,12003.432229008546,514.0217555767415,0.04282289813196192,244.19997349136622,0.02034417896751324,342.482595770242,0.02853205560177768,124.79991452970329,0.010397019131586454,False,False,False,True
basal,Fp1,20,40.0,44.0,662.0812877906651,95.62982393794513,2729.584003954821,198.52922643430736,0.07273241129295295,275.3562106242411,0.10087845262328797,423.40370396805315,0.15511656844214902,191.1224797396597,0.0700189037826817,False,False,False,True
basal,Fp1,21,42.0,46.0,369.08133262153206,53.14961538957694,1441.1902935717517,144.41433896455163,0.10020490674180478,230.817863875504,0.16015779797091204,405.94156685705013,0.2816710386322344,195.97617770313445,0.13598216597576432,False,False,False,True
basal,Fp1,22,44.0,48.0,414.0552430593207,58.297288238121986,3985.63602168013,157.14345210137395,0.039427446773007316,240.95667346756454,0.06045626649218966,301.03103216119047,0.07552898220602994,148.07362789197674,0.03715181895349211,False,False,False,True
basal,Fp1,23,46.0,50.0,384.061515043877,53.16652413636887,2117.6650197188583,253.12076548685837,0.11952823658600299,189.3160678813419,0.08939849604092509,330.0147830742416,0.15583899247580454,154.8269267396984,0.07311209530214238,False,False,False,True
basal,Fp1,24,48.0,52.0,337.60993980734753,47.47181904572658,2174.7889734156447,235.09550662372686,0.1081003764031847,245.68652134170483,0.11297028095366811,340.0212477479527,0.15634677750546422,210.01650946995642,0.0965686841515074,False,False,False,True
basal,Fp1,25,50.0,54.0,221.279602689151,38.81229092346276,1341.0626345333562,268.0858163872664,0.19990551483864963,495.82314617593323,0.36972407806176977,202.44608349159384,0.15095945430023716,210.4214923193848,0.1569065358327609,False,False,False,True
basal,Fp1,26,52.0,56.0,268.2504196071985,39.263118485201396,1437.6610754024116,217.74297462245778,0.1514564025888438,279.7117664711707,0.1945602974559754,235.9860097364096,0.16414578774789146,201.5636509993823,0.14020248196742977,False,False,False,True
basal,Fp1,27,54.0,58.0,268.2504196071985,40.11402864921156,1500.7009872849867,198.16261088552503,0.13204669855254347,188.60787170827524,0.12567984782198197,287.71514418909425,0.19172050037070873,209.9819475049598,0.13992257570567168,False,False,False,True
basal,Fp1,28,56.0,60.0,201.4191991738899,34.87625538665402,1193.5400613340994,217.59439860398368,0.18231009218137503,215.16578962410648,0.180275297490728,294.05037996857834,0.2463682531442628,188.4306166061682,0.1578754016815713,False,False,False,True
basal,Fp2,0,0.0,4.0,406.1577433192672,51.38735454346018,2038.9954114043915,178.0754446465105,0.08733489229573996,335.74215591222753,0.16466057453311267,554.083971060423,0.27174360862283087,276.370275123968,0.13554237227714674,False,False,False,True
basal,Fp2,1,2.0,6.0,557.7587672964632,68.30710760602103,5253.565840336549,473.0850583025841,0.09005027683678517,387.9077360599118,0.07383703713801026,414.2649495307028,0.07885405115702605,207.43392195391053,0.039484405117995454,False,False,False,True
basal,Fp2,2,4.0,8.0,557.7587672964632,67.33531907667778,1759.1558637617231,182.10594979090183,0.10351893970412164,317.99655775207145,0.18076656213513548,352.06388522915375,0.2001322864457908,217.6797828875193,0.12374104385613664,False,False,False,True
basal,Fp2,3,6.0,10.0,271.8145052542087,43.49145523862429,1776.721399160067,338.522151383292,0.19053192669561253,251.0139349590514,0.14127928840037415,402.0288848960024,0.22627570371250036,212.77066280913985,0.11975465760120058,False,False,False,True
basal,Fp2,4,8.0,12.0,259.56891658798634,44.09014268482595,1773.4003580696303,262.6986370513131,0.14813273035382943,238.7980668452082,0.13465547458507512,545.7190123890105,0.3077246544502973,173.07530511429596,0.09759516756988293,False,False,False,True
basal,Fp2,5,10.0,14.0,256.2564903322789,45.897279646348586,1575.0768162725667,215.1535689485811,0.13659877837434237,252.32045521006572,0.16019565052527682,494.2564492427631,0.3137983139212381,178.60760772631747,0.11339612511661111,False,False,False,True
basal,Fp2,6,12.0,16.0,333.72505314448017,57.91717779675451,2801.735079112149,330.10138388397763,0.11782034152514682,291.72022076282013,0.10412127218511477,445.5215939954371,0.1590163171803595,209.58189375924505,0.07480432226506588,False,False,False,True
basal,Fp2,7,14.0,18.0,333.72505314448017,56.83507771530067,2350.5921807067216,303.84813222807963,0.12926450395011763,308.25796215900976,0.1311405545756261,384.03082640664326,0.16337620347702414,240.00643778837818,0.10210466952043488,False,False,False,True
basal,Fp2,8,16.0,20.0,274.3826127801026,45.164424680024965,2061.1852490793854,414.04230012844914,0.20087583118178162,243.36114502008596,0.11806854581788881,399.6023027498368,0.19387015452799136,263.45195542933953,0.12781575821339133,False,False,False,True
basal,Fp2,9,18.0,22.0,265.69708630353364,44.01068719912928,1736.8881593595502,255.80268509880227,0.14727642866373472,224.7271402809681,0.1293849227251527,357.6283641834915,0.20590178029387987,147.4381380666435,0.0848863741007993,False,False,False,True
basal,Fp2,10,20.0,24.0,305.03590706665176,44.72944950018405,1665.8562911635643,299.2741664113372,0.17965185112234425,183.35648037976625,0.1100674057854629,348.120777118897,0.20897407475391666,252.7185520774398,0.151704894004345,False,False,False,True
basal,Fp2,11,22.0,26.0,292.81636633682007,43.8832385203888,1598.6028216269879,291.683391585039,0.1824614517370715,277.4617496277903,0.1735651569446136,344.79792907535716,0.21568705147438497,187.2810685244482,0.11715297007535726,False,False,False,True
basal,Fp2,12,24.0,28.0,254.77517403491981,41.24462164075028,1531.6011562008575,286.06400156332745,0.18677447480707726,208.12635379867572,0.13588808872078284,371.41175764497007,0.24249900578963934,185.5517189678937,0.12114885015375376,False,False,False,True
basal,Fp2,13,26.0,30.0,277.0162704809185,41.550932247060516,1397.3363869111363,291.6671508517362,0.20873080639979413,163.75001103683482,0.11718725181043219,511.7606865852108,0.36624014902845026,179.0629324587726,0.12814590254433852,False,False,False,True
basal,Fp2,14,28.0,32.0,654.2617771647226,92.25463582428617,6767.576531254861,295.1805820157949,0.0436168812650371,145.65175278024043,0.021521995666775758,425.11735499783146,0.06281677835994935,157.60016201683928,0.023287533031801068,False,False,False,True
basal,Fp2,15,30.0,34.0,658.3941220748771,108.7125951175589,7651.849669694902,526.3819798623844,0.06879146906755323,216.94137409994656,0.028351494535908274,410.91304853538895,0.05370113976007752,124.56329679976584,0.016278847883420648,False,False,False,True
basal,Fp2,16,32.0,36.0,642.9040793618015,88.45378810484135,5976.2496326283,509.41678129837646,0.08524021127182059,245.63679275370527,0.04110216404157743,455.56216008495795,0.07622877023037036,129.32760016847504,0.021640260718426174,False,False,False,True
basal,Fp2,17,34.0,38.0,474.8873362631025,67.86206549727129,2309.064895003262,371.44651254836515,0.16086447520473018,188.62023192870157,0.08168684749262325,321.9986369874993,0.13944979965019322,148.2882194763838,0.06422003114649331,False,False,False,True
basal,Fp2,18,36.0,40.0,537.2266069373331,79.76316254484564,2446.2792213581197,339.57625277196007,0.13881336595069263,287.3193227051328,0.11745156488948122,262.5704986854462,0.10733463964087996,134.2105595708953,0.05486314006967062,False,False,False,True
basal,Fp2,19,38.0,42.0,718.932980364267,107.9758082978306,8472.381925488038,364.64228506779597,0.04303893382931876,199.1781274387466,0.023509106316317682,265.19290632806707,0.03130086776780794,159.21444818339572,0.01879217079490009,False,False,False,True
basal,Fp2,20,40.0,44.0,503.824009968114,82.69521949060737,2020.3451849664748,199.22532253176666,0.09860954653403575,205.75405204594358,0.10184103863882935,296.2033684670234,0.14661027762537446,106.13054504291344,0.05253089711235387,False,False,False,True
basal,Fp2,21,42.0,46.0,253.1898486058633,40.02984453274252,1290.673455492973,163.78860491973992,0.12690166069711323,153.14689590933318,0.11865657828287689,340.65827966791056,0.26393839450102896,102.9840866454886,0.0797909697508684,False,False,False,True
basal,Fp2,22,44.0,48.0,343.678720153717,55.40090104041385,2819.218987922026,202.19216450115715,0.07171921208227525,218.4074847017496,0.07747091859037604,302.03940376584063,0.10713584331682802,92.32477999425686,0.03274835349428002,False,False,False,True
basal,Fp2,23,46.0,50.0,335.03798038446587,54.726808042864185,2661.438825039846,348.52280673327016,0.13095277766831714,307.219893916569,0.11543376125204359,263.45411468191446,0.09898935575871075,154.4013066741458,0.05801422344240212,False,False,False,True
basal,Fp2,24,48.0,52.0,265.0345228995684,43.088193106990765,1583.6495624596896,345.9033520705458,0.21842165102063132,187.40586132337194,0.11833796173460073,269.8380510401623,0.17039000132141344,118.60544499245077,0.07489374404791639,False,False,False,True
basal,Fp2,25,50.0,54.0,260.35496649409794,40.521209123563075,1396.2601041967655,236.00482486056148,0.16902640428613358,196.00398930667632,0.14037784845212106,354.5740779762473,0.253945577124561,130.3595470513397,0.0933633688017838,False,False,False,True
basal,Fp2,26,52.0,56.0,339.9911074768951,49.915375639808865,2323.183940566794,263.55247634449694,0.11344451540939857,281.12621615911775,0.12100902182137613,338.1680720376548,0.14556233199302804,186.18207210041473,0.08014090871125398,False,False,False,True
basal,Fp2,27,54.0,58.0,355.59961178643573,51.04501224560673,1721.033123650536,180.14639083781395,0.10467340132053933,189.44983798875873,0.11007913525040755,345.8117516882512,0.2009326531465817,151.11024297066672,0.0878020538327247,False,False,False,True
basal,Fp2,28,56.0,60.0,277.907693439254,39.431015949746964,1212.7962743381318,202.31438901841727,0.16681646645791998,171.71940111685262,0.14158965091689973,296.44752896892066,0.24443308018133808,156.30292108277243,0.12887813426708683,False,False,False,True
punto_fijo,Fp1,0,0.0,4.0,326.8854532417662,52.28820021336037,2591.6841863816926,173.83416607654584,0.06707382287933761,471.81892132526195,0.18205108624132893,1021.4812845856354,0.3941380242056992,498.1032653487496,0.19219288675915505,False,False,False,True
punto_fijo,Fp1,1,2.0,6.0,329.07582937029747,48.77292206188812,2134.032991890906,261.8003344663226,0.12267867247654347,257.50971035796573,0.12066810182245294,805.6148921831381,0.3775081712627627,357.4870480342736,0.1675171140243312,False,False,False,True
punto_fijo,Fp1,2,4.0,8.0,317.1612494595501,45.235968994155265,1762.105933172049,222.31856031128865,0.12616639903770294,239.61697278625883,0.13598329605241902,739.0926254593878,0.41943711302810993,245.34856929509002,0.1392359929538553,False,False,False,True
punto_fijo,Fp1,3,6.0,10.0,296.87481897876177,46.80174162937531,2021.5965425567108,204.76900361472434,0.10129073695177239,301.6413080004485,0.14920944988309243,688.9652031923429,0.340802523495123,305.3870590580966,0.15106231764319994,False,False,False,True
punto_fijo,Fp1,4,8.0,12.0,351.8028845459638,53.278825192416,2542.8192499466104,224.5990910278209,0.08832680145572148,432.74531339378177,0.17018327724350357,923.0402397399375,0.3629987620076881,408.2455736283682,0.16054840454622948,False,False,False,True
punto_fijo,Fp1,5,10.0,14.0,424.402945742462,63.366841514462116,3973.218884254681,380.6421428501425,0.09580195653417807,422.10032455980536,0.10623636322492344,1236.0279652533748,0.3110898244623731,464.82612038252205,0.11698980950296091,False,False,False,True
punto_fijo,Fp1,6,12.0,16.0,424.402945742462,65.49390271302178,4028.1000479106833,404.02554079041636,0.10030176410339622,403.0308214497449,0.10005481906011524,1199.8762803336726,0.2978764842139487,518.8274126688227,0.1288020174518582,False,False,False,True
punto_fijo,Fp1,7,14.0,18.0,347.16519008898877,55.004389828286335,2601.8704045338663,341.3234351841905,0.1311838724132533,232.60415548946415,0.08939882443189401,950.5884572142991,0.3653481186295288,420.9586101849254,0.16179076769211398,False,False,False,True
punto_fijo,Fp1,8,16.0,20.0,292.00288675621914,49.55555687689972,2331.17368680476,340.2420802419756,0.14595312317047077,234.84735810634942,0.1007421109099102,959.7611882417286,0.41170728447833166,374.97630493423566,0.1608530102483267,False,False,False,True
punto_fijo,Fp1,9,18.0,22.0,358.2745832589445,58.64614219691903,3078.4819696836266,573.6683393573073,0.1863477990148056,319.66794518231814,0.10383947293840093,876.8703985914025,0.28483856888774234,425.65030580675307,0.13826629812956054,False,False,False,True
punto_fijo,Fp1,10,20.0,24.0,358.2745832589445,57.89111815981894,2800.245661530344,357.8892440848754,0.1278063739198109,361.9018258525341,0.1292393131161048,744.0273951989382,0.2657007581228872,436.25226773610484,0.15579071283970544,False,False,False,True
punto_fijo,Fp1,11,22.0,26.0,356.0106440770548,56.3714551375109,3153.511637052582,385.7613170422282,0.12232753876969314,280.0716756354517,0.08881263425341904,922.3446353654159,0.2924817605009639,461.78431332842365,0.1464349482344161,False,False,False,True
punto_fijo,Fp1,12,24.0,28.0,356.0106440770548,54.05587880253381,2350.024731627802,211.56267741649458,0.09002572380161741,141.80919467659473,0.06034370309727215,809.413783155414,0.3444277722961468,453.9694432007145,0.193176453460667,False,False,False,True
punto_fijo,Fp1,13,26.0,30.0,317.6282441478511,50.708735744583436,2350.3987216562937,143.41142923295422,0.0610157876242777,107.7776836664151,0.04585506394015806,1089.86775191453,0.4636948369111242,570.5711462612165,0.24275504449693663,False,False,False,True
punto_fijo,Fp1,14,28.0,32.0,333.43653849267025,53.852472340033046,2493.9553635872294,110.22811718100571,0.044198111478008555,118.17995052168293,0.04738655400459794,1197.634893530507,0.4802150475571726,582.1159290065941,0.23341072478911423,False,False,False,True
punto_fijo,Fp1,15,30.0,34.0,350.2041186961263,55.1102271011415,3077.3747659983196,237.65030671124816,0.07722501313035655,280.4003796967204,0.09111674755861487,1128.3099898221674,0.36664692330904214,614.6950749893697,0.19974657678391627,False,False,False,True
punto_fijo,Fp1,16,32.0,36.0,339.65973013925253,59.340209668447365,3129.386025836471,334.0701334626371,0.10675261239889432,296.9388021479322,0.09488723976408817,1119.9840281978468,0.35789257667515784,496.1030466596797,0.15853047293105155,False,False,False,True
punto_fijo,Fp1,17,34.0,38.0,365.85063778605615,56.2793092080968,3179.958115797638,358.39174607662596,0.11270329137235492,207.72391260764545,0.06532284547261763,1144.2231854214986,0.3598233510489146,642.0699400702053,0.2019114455880665,False,False,False,True
punto_fijo,Fp1,18,36.0,40.0,375.03777408126217,55.60990093396018,3211.792400911371,230.62139301858554,0.07180457645803787,273.99869070981254,0.08531021202742223,1138.0425276687436,0.3543325301304702,791.5231219838957,0.24644280301531785,False,False,False,True
punto_fijo,Fp1,19,38.0,42.0,375.03777408126217,56.05062331776883,2945.544728820705,160.4366814278033,0.054467576016758244,263.29004294527914,0.08938585802792796,1071.0988223407949,0.36363352824373035,921.8251889675205,0.31295575991357893,False,False,False,True
punto_fijo,Fp1,20,40.0,44.0,327.1220580074628,55.402929365968056,2768.466385086732,205.8446638603636,0.07435331885162651,187.06149732119653,0.06756863595269413,1144.1248011841142,0.41327025220436997,715.5348245513372,0.25845891732903253,False,False,False,True
punto_fijo,Fp1,21,42.0,46.0,337.43044171069636,56.97508230710014,2961.9976439634515,165.3254513173448,0.055815524247386866,186.3526730479659,0.06291452440137908,1275.4318546836507,0.4305985378762808,728.9585398205351,0.24610368657995116,False,False,False,True
punto_fijo,Fp1,22,44.0,48.0,587.1683331050442,81.43977825281725,3356.0916519018856,332.73480212963295,0.09914353856846349,265.5239831981331,0.07911702382968641,1280.972176968031,0.3816856956937122,859.1736538241425,0.2560042284117157,False,False,False,True
punto_fijo,Fp1,23,46.0,50.0,641.7873032235775,86.66414203861375,8908.160573727122,462.1125614455012,0.05187519439292685,305.8162963374981,0.034329903890534204,1261.947642914111,0.14166197751710705,1002.2135358016527,0.11250510444967568,False,False,False,True
punto_fijo,Fp1,24,48.0,52.0,411.05494359473505,63.26836399228501,2848.2891794558773,125.43215724944542,0.044037718555461895,188.02176060943208,0.06601217389217158,1250.0927568510215,0.4388924993528336,822.9799066739765,0.2889383257184562,False,False,False,True
punto_fijo,Fp1,25,50.0,54.0,429.1787012590968,60.05778648708405,3426.5164277889266,401.7787111721531,0.11725573760970238,378.74057916374204,0.11053225255019045,1072.2503724163728,0.3129272527983407,1021.2252255837784,0.2980359928531724,False,False,False,True
punto_fijo,Fp1,26,52.0,56.0,429.1787012590968,67.11410084655435,4000.3181872995833,483.89338624658217,0.12096372428145138,287.11421397029085,0.0717728441907036,1213.9442531161624,0.3034619238465218,1082.9165838961733,0.2707076120430302,False,False,False,True
punto_fijo,Fp1,27,54.0,58.0,425.4792202908394,62.53275402735534,3294.0330982125984,152.3976004222165,0.04626474473037632,260.8369303431496,0.07918467197086891,1220.0510921269545,0.37038215942304165,1101.4921572885046,0.3343901304107096,False,False,False,True
punto_fijo,Fp1,28,56.0,60.0,516.7335172769574,66.08243361080035,4104.778645474529,151.85043388158874,0.03699357431831363,259.3945411999067,0.0631933079962512,1488.6723089192442,0.36266810892725926,1294.4313376532953,0.3153474156469779,False,True,True,False
punto_fijo,Fp1,29,58.0,62.0,516.7335172769574,74.44331215092464,5053.51905960092,331.94189788713146,0.0656852965175806,298.29859358249087,0.059027895227934044,2194.991148286401,0.434349039233611,1389.640591955109,0.2749847335224753,False,True,True,False
punto_fijo,Fp2,0,0.0,4.0,385.77515125926107,58.38009716641069,3259.946352442144,289.23741741122774,0.08872459425430407,791.5251903898014,0.2428031337990704,1068.8676348470512,0.3278789032973882,537.2765040737074,0.16481145576865525,False,False,False,True
punto_fijo,Fp2,1,2.0,6.0,340.32728233393277,57.45813827292207,3123.586437214946,283.728940422661,0.09083434895294257,450.4026468378291,0.14419407174767265,1276.116819435873,0.40854218222745425,580.2417023905664,0.18576137208097301,False,False,False,True
punto_fijo,Fp2,2,4.0,8.0,377.2314821405077,57.458710885091875,2852.7145252368036,197.2312216459076,0.06913808581303292,380.4405941090239,0.1333609061626815,1028.5798271243152,0.3605617800256171,538.069585910764,0.188616695133944,False,False,False,True
punto_fijo,Fp2,3,6.0,10.0,377.2314821405077,58.05563537243026,3066.6956747597505,418.0736746205846,0.136327082619092,416.0870546359173,0.13567927788221573,942.3848196538617,0.30729649094629824,456.20029696078456,0.14875955925966602,False,False,False,True
punto_fijo,Fp2,4,8.0,12.0,396.0020876909455,56.80577057043304,2616.7293726861835,333.4729220415582,0.12743882708024717,304.521716332862,0.11637493716832382,969.934515369599,0.3706667282807011,502.1671115196212,0.19190639917192712,False,False,False,True
