channel,sample,time_s,amplitude_abs_uv,signed_amplitude_uv
Fp1,141,0.141,904.8864357745505,-904.8864357745505
Fp1,463,0.463,775.1112757557421,-775.1112757557421
Fp1,790,0.79,641.8659286409428,-641.8659286409428
Fp1,1142,1.142,1310.8508634193538,1310.8508634193538
Fp1,1473,1.473,889.1427855449657,-889.1427855449657
Fp1,1801,1.801,830.5697832462603,830.5697832462603
Fp1,2138,2.138,794.8219545972909,794.8219545972909
Fp1,2558,2.558,1605.6212230023139,-1605.6212230023139
Fp1,3062,3.062,1591.8104091985574,1591.8104091985574
Fp1,3330,3.33,1264.9221138285375,-1264.9221138285375
Fp1,3777,3.777,1239.1862999593382,1239.1862999593382
Fp1,4078,4.078,1797.2085660292423,-1797.2085660292423
Fp1,4339,4.339,1343.767035167423,-1343.767035167423
Fp1,4620,4.62,1274.1014228252295,1274.1014228252295
Fp1,5074,5.074,1672.8592864639788,-1672.8592864639788
Fp1,5466,5.466,1605.5206966456908,1605.5206966456908
Fp1,5739,5.739,980.0549208618022,-980.0549208618022
Fp1,6227,6.227,1381.2258227202053,1381.2258227202053
Fp1,6700,6.7,1177.03539591014,-1177.03539591014
Fp1,7109,7.109,1364.3480516089119,1364.3480516089119
Fp1,7476,7.476,1532.3298717103062,-1532.3298717103062
Fp1,7872,7.872,1367.2835095793623,1367.2835095793623
Fp1,8183,8.183,637.9530718978117,-637.9530718978117
Fp1,8438,8.438,1393.494668744057,-1393.494668744057
Fp1,8696,8.696,831.0717620169067,831.0717620169067
Fp1,9100,9.1,603.8263386532958,-603.8263386532958
Fp1,9502,9.502,1309.6186574142505,1309.6186574142505
Fp1,9788,9.788,447.34162464797777,-447.34162464797777
Fp1,10054,10.054,1058.381099099187,-1058.381099099187
Fp1,10512,10.512,483.16122553043976,-483.16122553043976
Fp1,10790,10.79,661.6843294340894,661.6843294340894
Fp1,11156,11.156,1387.0046616544523,1387.0046616544523
Fp1,11521,11.521,1079.1858156055523,-1079.1858156055523
Fp1,11777,11.777,866.540606758234,866.540606758234
Fp1,12100,12.1,601.2515049296778,601.2515049296778
Fp1,12506,12.506,672.2681597320152,-672.2681597320152
Fp1,12759,12.759,1412.7794089596807,1412.7794089596807
Fp1,13028,13.028,1141.0804035083602,-1141.0804035083602
Fp1,13335,13.335,1163.3763196197835,-1163.3763196197835
Fp1,13600,13.6,615.3396739890576,615.3396739890576
Fp1,13861,13.861,401.6759072645363,-401.6759072645363
Fp1,14139,14.139,630.8718584785934,630.8718584785934
Fp1,14521,14.521,1465.1047719936214,-1465.1047719936214
Fp1,14798,14.798,548.0081089017899,548.0081089017899
Fp1,15125,15.125,355.61333550350906,355.61333550350906
Fp1,15615,15.615,428.88188520269586,428.88188520269586
Fp1,16069,16.069,922.3316750737288,-922.3316750737288
Fp1,16394,16.394,587.2976987767156,587.2976987767156
Fp1,16703,16.703,510.0321599166238,-510.0321599166238
Fp1,17037,17.037,849.35551709716,-849.35551709716
Fp1,17360,17.36,1294.6373973600203,1294.6373973600203
Fp1,17854,17.854,1354.2801450373809,-1354.2801450373809
Fp1,18106,18.106,752.9624965953811,752.9624965953811
Fp1,18380,18.38,572.4641914088932,-572.4641914088932
Fp1,18656,18.656,1187.2174878092817,1187.2174878092817
Fp1,18956,18.956,1234.9211432017642,-1234.9211432017642
Fp1,19246,19.246,1639.989576748646,1639.989576748646
Fp1,19563,19.563,1228.7780986735015,-1228.7780986735015
Fp1,19867,19.867,723.6893629423046,723.6893629423046
Fp1,20236,20.236,497.0365087362658,497.0365087362658
Fp1,20511,20.511,1362.8771631004324,1362.8771631004324
Fp1,20855,20.855,518.4600942378951,518.4600942378951
Fp1,21232,21.232,783.8356458166096,-783.8356458166096
Fp1,21562,21.562,1185.1768584607605,1185.1768584607605
Fp1,21823,21.823,1729.128924057741,-1729.128924057741
Fp1,22213,22.213,1054.5499072049186,1054.5499072049186
Fp1,22712,22.712,1428.5711268786429,-1428.5711268786429
Fp1,22999,22.999,702.8042296781351,702.8042296781351
Fp1,23318,23.318,820.7895374870504,820.7895374870504
