condition,channel,alpha_rel,beta_rel,theta_rel
basal_ojos_cerrados,Fp1,0.14796564873707976,0.2225398822149374,0.13419014488876016
basal_ojos_cerrados,Fp2,0.12153844370435692,0.20454010354102303,0.14558508986548596
masticacion,Fp1,0.05818468566979745,0.21981381507883443,0.09617988592061345
masticacion,Fp2,0.05134118699579764,0.222176183420591,0.08062191324251945
musica_estresante,Fp1,0.07428582470402671,0.12241891134159393,0.11595339872627436
musica_estresante,Fp2,0.08614401151632765,0.0850334292725432,0.12529886511647584
musica_relajante,Fp1,0.09342066462918956,0.20801311041940795,0.0966237771523959
musica_relajante,Fp2,0.10386118594790696,0.16663720379977862,0.12831052878703644
ojos_abiertos,Fp1,0.09532299859816558,0.39129908551409115,0.0924669526500542
ojos_abiertos,Fp2,0.11170840079737863,0.44865094675129974,0.08937172424463855
parpadeo,Fp1,0.03972221055246553,0.09053259443989013,0.10543402248367838
parpadeo,Fp2,0.04533551866415446,0.1357910496411549,0.08965090681241193
