condition,channel,epoch,start_s,end_s,total_0p5_45,delta_abs,delta_rel,theta_abs,theta_rel,alpha_abs,alpha_rel,beta_abs,beta_rel,gamma_abs,gamma_rel
basal_ojos_cerrados,Fp1,0,0.0,2.0,18479.393654758027,4054.754689277461,0.21942033191297122,2118.745595991826,0.11465449762992072,6240.553402230939,0.3377033640183393,4665.708668861038,0.2524816969662705,1399.63129839676,0.07574010947249811
basal_ojos_cerrados,Fp1,1,2.0,4.0,13994.945209133239,2568.1777049515945,0.18350752122098887,2145.1928975879655,0.15328340808279775,3240.7153011033115,0.23156327178675834,3746.3634242154294,0.26769404011460624,2294.4958812749373,0.16395175879484877
basal_ojos_cerrados,Fp1,2,4.0,6.0,14489.170996749313,2516.5506402536566,0.17368492930466842,1496.3701639050305,0.10327507103344596,2020.6869401428353,0.13946187401585516,6198.33133819082,0.42779061269836854,2257.231914256969,0.15578751294766177
basal_ojos_cerrados,Fp1,3,6.0,8.0,17679.12155978312,5596.615295585208,0.3165663676591556,2646.8206498244795,0.1497144889735658,2976.458150355852,0.16836007039664055,4711.065038678887,0.2664761946880736,1748.162425338695,0.09888287828256442
basal_ojos_cerrados,Fp1,4,8.0,10.0,19451.141090765675,3349.7579985023435,0.1722139581874003,4178.435867304938,0.2148170047097457,2694.933643867626,0.1385488713125952,5874.245467676274,0.3020000441241486,3353.7681134144946,0.17242012166611026
basal_ojos_cerrados,Fp1,5,10.0,12.0,21813.546440769078,6484.395290710579,0.2972646061161047,2848.594098914132,0.1305883069792891,4778.05359720788,0.2190406594444356,5388.619674899273,0.24703088466293827,2313.8837790372136,0.10607554279723225
basal_ojos_cerrados,Fp1,6,12.0,14.0,15446.60164398121,1504.0123663098152,0.09736849573613855,4408.476480233335,0.28540105984743275,2054.2972233806913,0.13299347459906505,4752.039600174539,0.30764304729941544,2727.77597388283,0.17659392251794825
basal_ojos_cerrados,Fp1,7,14.0,16.0,28726.036283312143,16917.54083914003,0.5889270859470425,1345.5172754020675,0.04683964268971284,2540.3764482109823,0.08843463202358923,5321.603454993009,0.1852536633494575,2600.9982655660538,0.09054497599019797
basal_ojos_cerrados,Fp1,8,16.0,18.0,17677.66228094416,2506.5733105997374,0.141793256979557,5346.698293723312,0.30245505365756686,4034.625749158327,0.22823299172920042,3588.216982097172,0.20298028806473647,2201.5479453656117,0.12453840956893919
basal_ojos_cerrados,Fp1,9,18.0,20.0,23751.77229444489,9868.069396775132,0.4154666554749304,4406.7833377039715,0.18553492695509877,2639.4186464624995,0.11112512421145987,5223.829600162274,0.21993430786569274,1613.6713133410133,0.06793898549281822
basal_ojos_cerrados,Fp1,10,20.0,22.0,32170.706684313634,18328.498032973355,0.5697263107344264,4207.559613137268,0.13078853549676187,2142.4939879074677,0.06659766628478021,5930.423439003855,0.1843423427778015,1561.7316112916837,0.04854514470622993
