condition,channel,delta_abs,delta_abs,delta_abs,delta_rel,delta_rel,delta_rel,theta_abs,theta_abs,theta_abs,theta_rel,theta_rel,theta_rel,alpha_abs,alpha_abs,alpha_abs,alpha_rel,alpha_rel,alpha_rel,beta_abs,beta_abs,beta_abs,beta_rel,beta_rel,beta_rel,gamma_abs,gamma_abs,gamma_abs,gamma_rel,gamma_rel,gamma_rel
,,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median
basal_ojos_cerrados,Fp1,15880.815570230096,33578.58101550748,5612.797623625893,0.3954485014067534,0.2367994815246879,0.31666964047532786,2574.275999375475,1225.5988655507233,2421.3436892114387,0.13419014488876016,0.07445928948379255,0.1306884212380255,2727.942081238769,1071.5782026122265,2540.875776342453,0.14796564873707976,0.07794532317357027,0.1390053726642252,4196.86324210056,1169.8945284417562,4265.168534376279,0.2225398822149374,0.09662043896099043,0.21145729796521462,1763.415576735721,557.7188876097528,1747.3948167039566,0.09985582275246925,0.048728549128218314,0.09817158203648024
basal_ojos_cerrados,Fp2,15561.30914632295,22866.638706199847,7185.016965598271,0.4548257148995553,0.2228977980699389,0.4277924521104304,2923.3470881550616,1559.5055266023378,2832.326862910637,0.14558508986548596,0.08559309400403763,0.13183452072572815,2383.1483742312007,896.988367858268,2228.036126659885,0.12153844370435692,0.056795115152146816,0.12097233719206774,3983.302943233794,1308.1501587145442,3737.6104988641764,0.20454010354102303,0.09859482090040447,0.19975057701597765,1394.5528295819051,509.6532677401123,1377.8369537704584,0.07351064798957875,0.041937805705757294,0.06717561642194211
masticacion,Fp1,153522.50310708236,186281.7024338855,53382.47062156109,0.5405670031341414,0.2551397121248054,0.5436544987701305,19363.641920467013,20829.551523489725,15391.205192429497,0.09617988592061345,0.07621980383496516,0.07827097681809492,8266.594776834963,6766.906652854118,6337.960916470522,0.05818468566979745,0.04703671648044685,0.040059651298650426,24409.69732837128,9255.260926170069,22867.939756494226,0.21981381507883443,0.18307644686345417,0.1817115839029856,10034.941063930497,5122.357685176388,8018.802820393487,0.08525461019661316,0.06316649961051966,0.08140471073214302
masticacion,Fp2,173200.45602938172,190699.231611482,80874.72598001159,0.5412803311517649,0.2686362538826876,0.521677369027499,17166.665159175347,15154.107919255357,15964.042928201608,0.08062191324251945,0.03798409878106228,0.07192366015206623,7832.6992314095005,4518.7201799601135,7181.133304785415,0.05134118699579764,0.03338412724148644,0.04345219370150486,25870.363227145634,11529.613887066995,22773.962869979703,0.222176183420591,0.16724974378448168,0.19770612809617535,12226.335141715525,5872.869417504803,12382.853248144074,0.10458038518932702,0.0810343901347493,0.09626964145730997
musica_estresante,Fp1,133804.25866198677,210529.8832380154,40499.192303793076,0.6240511267954468,0.23406060534192707,0.6961506923272922,29991.86524972381,83288.83580044807,5916.12006954144,0.11595339872627436,0.09124938212313678,0.08972345734016304,9541.540797460719,20095.113178065163,3433.6004768848497,0.07428582470402671,0.06103841083739905,0.06542690303497323,10533.967684076086,12479.019135578306,5202.434671755413,0.12241891134159393,0.12165488641659766,0.06294153372099373,3899.366551101188,3982.919913627166,2222.055093482071,0.06329073843265823,0.07904215372855591,0.024976515644917284
musica_estresante,Fp2,184730.4276463358,346937.3101348381,59053.5221974834,0.6625768661847481,0.22024658622120893,0.6954882919198696,25428.052825594637,53613.239505265585,9244.253966729724,0.12529886511647584,0.07695110436106933,0.11147267259996349,10293.473525696538,22096.71393909101,4072.0512946459394,0.08614401151632765,0.07809798712473431,0.057395850000173866,9267.466991245477,17656.50164372485,4214.145196803696,0.0850334292725432,0.08317473397355202,0.05763480462981388,2813.933041270748,3999.843706432551,1500.1171976315422,0.04094682790990512,0.05199859365991322,0.015983714941170214
musica_relajante,Fp1,32409.293123305593,48761.98498066763,12011.948188040771,0.5143173904210411,0.21013108653625018,0.46341664894254625,3801.5803430640503,3313.1714491419316,2278.854359080007,0.0966237771523959,0.05230596786742191,0.08944080580896369,3144.5901025690637,2107.6178151596914,2614.556831151814,0.09342066462918956,0.07048186427425995,0.07600034505607092,6544.874214572534,2433.129731104305,6075.855030987841,0.20801311041940795,0.11423167697773934,0.21265793585862092,2555.453300393162,894.2712823757039,2323.1465021758854,0.08762505737796553,0.0512897655787703,0.10055221817758388
musica_relajante,Fp2,25699.102546211307,33481.82836012429,10472.102880806287,0.5511395759757785,0.22193776085906064,0.5294405897704936,3286.3480925783965,1980.7113225998369,2909.613286539159,0.12831052878703644,0.07538235667003561,0.10830843042324552,2506.3275616295496,1441.7295987632056,1978.1469340950039,0.10386118594790696,0.08275001047129132,0.09635279132092846,3742.874973602249,1128.338407026338,3643.7220610285367,0.16663720379977862,0.09660482551926756,0.1587339928650613,1145.3061124288763,312.41581473829234,1193.1280505464856,0.050051505489499576,0.027468894288300388,0.054160602758302714
ojos_abiertos,Fp1,7921.476644123426,4433.387455203614,6877.161355773162,0.24835286446141847,0.07565110950612507,0.24781610402929977,2770.705667311206,1902.610473504525,2603.16112643346,0.0924669526500542,0.05314169390037186,0.08661430300342177,2908.8912453073085,1790.1494278779035,2706.296953151699,0.09532299859816558,0.04586003701338294,0.08753564064981893,11615.869037465915,3754.3641070498647,10844.032163951832,0.39129908551409115,0.08919660949526546,0.38231528864919534,5496.359952993757,3619.6685781789197,4976.812054666775,0.17255809877627065,0.061314596852567994,0.17992460080324518
ojos_abiertos,Fp2,5510.160020637013,2557.084716211491,4549.3317327636105,0.18995012818099466,0.0710221137735479,0.17133546285702525,2399.398693306436,1069.55833944398,1993.3851425135954,0.08937172424463855,0.04847734986724084,0.0770437185117349,3226.7858327533404,1686.3609048298304,2959.634350364834,0.11170840079737863,0.05244171984803911,0.11602347742709423,13529.399158976315,5889.516215436118,12033.42680205033,0.44865094675129974,0.0827522407198621,0.44801635884260516,4706.677317768791,2042.4062152657568,4276.167949670951,0.16031880002568838,0.0508997382082024,0.14677673851362813
parpadeo,Fp1,241227.55981701828,156375.84645805426,195942.15523086095,0.7393206181584911,0.12394948386632057,0.7729382525490238,30675.5361859876,17535.032776917673,31092.5699075011,0.10543402248367838,0.06314530443907516,0.08945149334771255,10039.408935113675,4891.516253797305,10409.171078384388,0.03972221055246553,0.030799212264722004,0.02630893622347791,22050.54164679611,6259.741503737747,20433.40363987998,0.09053259443989013,0.049058850977745025,0.08447865426085638,6282.154100605378,1863.9225329706867,5641.0094237598505,0.024990554365474746,0.013216453346386934,0.023543749638829676
parpadeo,Fp2,238295.1776168619,228327.06361293554,159875.99173034617,0.6764596466610736,0.16782409999712294,0.7182651598326756,22018.35284076924,11032.4379022022,23056.310312604677,0.08965090681241193,0.038042327620791815,0.09371916472460447,10696.360347328891,6305.015739655271,8940.199056608924,0.04533551866415446,0.02594305489503115,0.037357948660165466,24243.341341559895,6877.540746804117,22812.736166757757,0.1357910496411549,0.10393549992681647,0.10262074600429757,9711.88208929189,3558.713881484172,8523.996742645046,0.052762878221205144,0.03738952694440745,0.038833245985813794
