condition,channel,delta_rel,theta_rel,alpha_rel,beta_rel,gamma_rel
basal_ojos_cerrados,Fp1,0.3954485014067534,0.13419014488876016,0.14796564873707976,0.2225398822149374,0.09985582275246925
basal_ojos_cerrados,Fp2,0.4548257148995553,0.14558508986548596,0.12153844370435692,0.20454010354102303,0.07351064798957875
masticacion,Fp1,0.5405670031341414,0.09617988592061345,0.05818468566979745,0.21981381507883443,0.08525461019661316
masticacion,Fp2,0.5412803311517649,0.08062191324251945,0.05134118699579764,0.222176183420591,0.10458038518932702
musica_estresante,Fp1,0.6240511267954468,0.11595339872627436,0.07428582470402671,0.12241891134159393,0.06329073843265823
musica_estresante,Fp2,0.6625768661847481,0.12529886511647584,0.08614401151632765,0.0850334292725432,0.04094682790990512
musica_relajante,Fp1,0.5143173904210411,0.0966237771523959,0.09342066462918956,0.20801311041940795,0.08762505737796553
musica_relajante,Fp2,0.5511395759757785,0.12831052878703644,0.10386118594790696,0.16663720379977862,0.050051505489499576
ojos_abiertos,Fp1,0.24835286446141847,0.0924669526500542,0.09532299859816558,0.39129908551409115,0.17255809877627065
ojos_abiertos,Fp2,0.18995012818099466,0.08937172424463855,0.11170840079737863,0.44865094675129974,0.16031880002568838
parpadeo,Fp1,0.7393206181584911,0.10543402248367838,0.03972221055246553,0.09053259443989013,0.024990554365474746
parpadeo,Fp2,0.6764596466610736,0.08965090681241193,0.04533551866415446,0.1357910496411549,0.052762878221205144
