participant,file,window_id,window_start_sec,window_end_sec,recovery_score,recovery_label,fold,y_true,y_pred
P01,P01_recuperacion_ECGv2.txt,1,0.0,30.0,29.906105468663714,no_recuperado,1,no_recuperado,no_recuperado
P01,P01_recuperacion_ECGv2.txt,2,15.0,45.0,0.0,no_recuperado,1,no_recuperado,no_recuperado
P01,P01_recuperacion_ECGv2.txt,3,30.0,60.0,0.0,no_recuperado,1,no_recuperado,no_recuperado
P01,P01_recuperacion_ECGv2.txt,4,45.0,75.0,17.280290132482346,no_recuperado,1,no_recuperado,no_recuperado
P01,P01_recuperacion_ECGv2.txt,5,60.0,90.0,82.95830792484834,recuperado,1,recuperado,no_recuperado
P01,P01_recuperacion_ECGv2.txt,6,75.0,105.0,128.4967860133399,recuperado,1,recuperado,recuperado
P01,P01_recuperacion_ECGv2.txt,7,90.0,120.0,120.1184352608827,recuperado,1,recuperado,recuperado
P01,P01_recuperacion_ECGv2.txt,8,105.0,135.0,113.14482125350375,recuperado,1,recuperado,recuperado
P01,P01_recuperacion_ECGv2.txt,9,120.0,150.0,93.67859570299622,recuperado,1,recuperado,recuperado
P01,P01_recuperacion_ECGv2.txt,10,135.0,165.0,115.12785596161133,recuperado,1,recuperado,recuperado
P01,P01_recuperacion_ECGv2.txt,11,150.0,180.0,113.36781810956094,recuperado,1,recuperado,recuperado
P01,P01_recuperacion_ECGv2.txt,12,165.0,195.0,150.0,recuperado,1,recuperado,recuperado
P01,P01_recuperacion_ECGv2.txt,13,180.0,210.0,150.0,recuperado,1,recuperado,recuperado
P01,P01_recuperacion_ECGv2.txt,14,195.0,225.0,60.43460347133615,recuperado,1,recuperado,recuperado
P01,P01_recuperacion_ECGv2.txt,15,210.0,240.0,75.50927565150747,recuperado,1,recuperado,recuperado
P01,P01_recuperacion_ECGv2.txt,16,225.0,255.0,104.35776443236212,recuperado,1,recuperado,recuperado
P01,P01_recuperacion_ECGv2.txt,17,240.0,270.0,77.790677491189,recuperado,1,recuperado,no_recuperado
P01,P01_recuperacion_ECGv2.txt,18,255.0,285.0,104.23844756405647,recuperado,1,recuperado,no_recuperado
P01,P01_recuperacion_ECGv2.txt,19,270.0,300.0,118.65341440873468,recuperado,1,recuperado,no_recuperado
P02,P02_recuperacion_ECGv2.txt.txt,1,0.0,30.0,30.918755418311928,no_recuperado,2,no_recuperado,recuperado
P02,P02_recuperacion_ECGv2.txt.txt,2,15.0,45.0,65.6165980507855,recuperado,2,recuperado,recuperado
P02,P02_recuperacion_ECGv2.txt.txt,3,30.0,60.0,79.74325530769994,recuperado,2,recuperado,recuperado
P02,P02_recuperacion_ECGv2.txt.txt,4,45.0,75.0,90.30125440893309,recuperado,2,recuperado,recuperado
P02,P02_recuperacion_ECGv2.txt.txt,5,60.0,90.0,120.40103547633326,recuperado,2,recuperado,recuperado
P02,P02_recuperacion_ECGv2.txt.txt,6,75.0,105.0,117.84182478198704,recuperado,2,recuperado,no_recuperado
P02,P02_recuperacion_ECGv2.txt.txt,7,90.0,120.0,120.55820990584783,recuperado,2,recuperado,no_recuperado
P02,P02_recuperacion_ECGv2.txt.txt,8,105.0,135.0,111.24068246232248,recuperado,2,recuperado,no_recuperado
P02,P02_recuperacion_ECGv2.txt.txt,9,120.0,150.0,107.80280366896035,recuperado,2,recuperado,no_recuperado
P02,P02_recuperacion_ECGv2.txt.txt,10,135.0,165.0,97.62620547091163,recuperado,2,recuperado,recuperado
P02,P02_recuperacion_ECGv2.txt.txt,11,150.0,180.0,93.20642882474014,recuperado,2,recuperado,recuperado
P02,P02_recuperacion_ECGv2.txt.txt,12,165.0,195.0,86.15536993106633,recuperado,2,recuperado,recuperado
P02,P02_recuperacion_ECGv2.txt.txt,13,180.0,210.0,98.1242945524214,recuperado,2,recuperado,recuperado
P02,P02_recuperacion_ECGv2.txt.txt,14,195.0,225.0,109.52089354575887,recuperado,2,recuperado,recuperado
P02,P02_recuperacion_ECGv2.txt.txt,15,210.0,240.0,86.17820738497028,recuperado,2,recuperado,recuperado
P02,P02_recuperacion_ECGv2.txt.txt,16,225.0,255.0,98.80459831949553,recuperado,2,recuperado,recuperado
P02,P02_recuperacion_ECGv2.txt.txt,17,240.0,270.0,86.27901117600115,recuperado,2,recuperado,recuperado
P02,P02_recuperacion_ECGv2.txt.txt,18,255.0,285.0,73.25910854653124,recuperado,2,recuperado,recuperado
P02,P02_recuperacion_ECGv2.txt.txt,19,270.0,300.0,67.59403869543091,recuperado,2,recuperado,recuperado
